원문어휘,공모수,분류,현재_자동감지,별표1_매칭어,건축법_용도(시니어 기입)
공동주택,2,0. 이미 자동감지,공동주택,공동주택,
부대복리시설,2,B. 별표1에 없음 — 시니어 판단 필요,,,
근린생활시설,1,0. 이미 자동감지,근린생활시설,근린생활시설,
업무시설,1,0. 이미 자동감지,업무시설,업무시설,
구의회,1,B. 별표1에 없음 — 시니어 판단 필요,,,
구청,1,B. 별표1에 없음 — 시니어 판단 필요,,,
공공커뮤니티지원센터(주민편의시설),1,B. 별표1에 없음 — 시니어 판단 필요,,,
보건소,1,A. 별표1에 있음(코드로 해결 가능),,보건소,
어린이집(노유자시설),1,0. 이미 자동감지,노유자시설,어린이집,
부설주차장,1,B. 별표1에 없음 — 시니어 판단 필요,,,
세대창고,1,B. 별표1에 없음 — 시니어 판단 필요,,,
금당로변 연도형 상가,1,B. 별표1에 없음 — 시니어 판단 필요,,,
지하 공용커뮤니티,1,B. 별표1에 없음 — 시니어 판단 필요,,,
범안로변 연도형상가,1,B. 별표1에 없음 — 시니어 판단 필요,,,
공원(어린이공원/소공원),1,C. 건축물 아님(매핑 불필요),,공원,
실내놀이터,1,B. 별표1에 없음 — 시니어 판단 필요,,,
스카이라운지,1,B. 별표1에 없음 — 시니어 판단 필요,,,
도로,1,C. 건축물 아님(매핑 불필요),,도로,
학교,1,A. 별표1에 있음(코드로 해결 가능),,학교,
